State_A,State_B,Driving_Distance_m,Driving_Time_s,Flight_Distance_m,Flight_Time_s
Idaho,New Mexico,1551143.1,64136.2,1237133.4608008794,5239.624069274313
Idaho,New York,4022022.8,159063.1,3404397.309213728,14418.623897846377
Idaho,North Carolina,3887263.2,154872.8,3283700.9401271897,13907.439275832805
Idaho,North Dakota,1662381.3,63734.4,1262281.0585090055,5346.131541920494
Idaho,Ohio,3206041.9,124668.7,2773115.0287412554,11744.957768786495
Idaho,Oklahoma,2388180.1,89537.6,1832437.269920598,7760.910790251945
Idaho,Oregon,766035.7,31972.3,560273.5178077711,2372.923134244678
Idaho,Pennsylvania,3767331.5,146641.7,3249528.2983837714,13762.708087272444
Idaho,Rhode Island,4264132.8,168692.4,3625283.1736053945,15354.140499975787
Idaho,South Carolina,3814857.2,149930.0,3206964.7286175904,13582.438850615677
Idaho,South Dakota,1798410.3,69740.8,1276538.300783026,5406.515156257522
Idaho,Tennessee,3107608.0,120068.2,2618684.4226700487,11090.898731308442
Idaho,Texas,2614940.2,107436.2,2211647.0986260376,9366.97594712204
Idaho,Utah,546486.5,19970.9,466411.00632925116,1975.3877915121225
Idaho,Vermont,4235117.3,169021.4,3457993.2801418924,14645.618598248015
Idaho,Virginia,3935573.7,154388.1,3324417.4291303074,14079.88558219895
Idaho,Washington,862331.2,35446.1,645107.0718423615,2732.2181866264723
Idaho,West Virginia,3426649.9,133277.4,2942039.6977689606,12460.403425845008
Idaho,Wisconsin,2645487.4,102001.8,2164835.170912172,9168.713665039788
Idaho,Wyoming,1185369.0,43371.5,974179.1906599823,4125.935395736396
Illinois,Indiana,334187.7,14438.5,289457.4563637689,1225.937462246551
Illinois,Iowa,545197.3,22778.4,384924.81737291435,1630.2698147558726
Illinois,Kansas,599160.2,25294.1,517500.06512887,2191.7649817222728
Illinois,Kentucky,602399.9,25300.8,451812.42138225836,1913.5584905601531
Illinois,Louisiana,1223623.4,50218.5,1043881.6606602658,4421.145856914067
Illinois,Maine,2091072.0,88895.1,1709594.5722923286,7240.635835591039
Illinois,Maryland,1293048.5,55286.6,1129952.7542747688,4785.682253399021
Illinois,Massachusetts,1840171.7,78281.3,1586061.7369538408,6717.437944745679
Illinois,Michigan,629350.8,26495.3,535786.2968421483,2269.212551331452
Illinois,Minnesota,842249.2,34703.8,630356.9586255557,2669.747118884707
Illinois,Mississippi,943627.9,38866.3,838382.0874687453,3550.7947233970394
Illinois,Missouri,333509.9,14599.8,254911.2596537744,1079.6241585336327
Illinois,Montana,2410292.8,95228.1,1948925.4470723795,8254.272481718313
Illinois,Nebraska,697359.1,29901.5,610280.0173231561,2584.7153674863084
